Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14519972,1,"Saturday, October  3, 2009 01:55:06 UTC",36.4061,-117.8626,2.1,5.30,31,"Central California"
ci,14519964,1,"Saturday, October  3, 2009 01:52:17 UTC",36.4056,-117.8420,2.8,0.60,32,"Central California"
nc,71292036,0,"Saturday, October  3, 2009 01:51:52 UTC",38.8173,-122.7715,1.2,0.40,15,"Northern California"
ci,14519956,1,"Saturday, October  3, 2009 01:50:21 UTC",36.3861,-117.8735,2.6,4.80,33,"Central California"
ci,14519940,1,"Saturday, October  3, 2009 01:47:54 UTC",36.3953,-117.8553,4.2,0.20,39,"Central California"
ci,14519932,1,"Saturday, October  3, 2009 01:46:45 UTC",36.3820,-117.8706,1.7,3.10,28,"Central California"
ci,14519924,1,"Saturday, October  3, 2009 01:45:34 UTC",36.4055,-117.8550,2.3,2.20,36,"Central California"
ci,14519916,1,"Saturday, October  3, 2009 01:44:35 UTC",36.4101,-117.8658,1.9,4.80,24,"Central California"
ci,14519908,1,"Saturday, October  3, 2009 01:42:17 UTC",36.4023,-117.8643,2.8,2.70,32,"Central California"
nc,71292016,0,"Saturday, October  3, 2009 01:39:02 UTC",38.7605,-122.7420,2.0,1.60,29,"Northern California"
ci,14519900,1,"Saturday, October  3, 2009 01:38:08 UTC",36.4093,-117.8618,3.3,5.70,42,"Central California"
ci,14519892,1,"Saturday, October  3, 2009 01:36:49 UTC",36.3838,-117.8268,1.9,4.20,18,"Central California"
ci,14519884,1,"Saturday, October  3, 2009 01:34:47 UTC",36.3818,-117.8781,2.5,6.30,22,"Central California"
ci,14519876,1,"Saturday, October  3, 2009 01:33:35 UTC",36.4043,-117.8491,3.4,2.30,35,"Central California"
ci,14519868,C,"Saturday, October  3, 2009 01:31:43 UTC",36.3965,-117.8581,4.0,0.00,12,"Central California"
ci,14519860,C,"Saturday, October  3, 2009 01:30:31 UTC",36.4048,-117.8626,4.1,3.50,38,"Central California"
ci,14519852,1,"Saturday, October  3, 2009 01:29:41 UTC",36.4163,-117.8565,2.2,2.90,32,"Central California"
ci,14519844,1,"Saturday, October  3, 2009 01:26:05 UTC",36.3865,-117.8733,2.8,2.50,35,"Central California"
ci,14519836,1,"Saturday, October  3, 2009 01:25:30 UTC",36.0973,-117.8726,2.4,3.80,15,"Central California"
ak,10012741,1,"Saturday, October  3, 2009 01:24:16 UTC",62.1270,-149.7643,1.8,45.40,11,"Central Alaska"
ci,14519820,1,"Saturday, October  3, 2009 01:23:26 UTC",36.4150,-117.8493,2.7,4.30,30,"Central California"
ci,14519812,1,"Saturday, October  3, 2009 01:22:28 UTC",36.4021,-117.8523,2.6,5.10,31,"Central California"
ci,14519804,1,"Saturday, October  3, 2009 01:21:58 UTC",35.9603,-117.6701,2.7,14.50,09,"Central California"
ci,14519796,1,"Saturday, October  3, 2009 01:19:50 UTC",36.3893,-117.8601,2.8,6.00,23,"Central California"
ci,14519780,C,"Saturday, October  3, 2009 01:15:59 UTC",36.3926,-117.8773,5.2,0.00,30,"Central California"
pr,p0927601,1,"Saturday, October  3, 2009 01:14:45 UTC",17.9198,-65.4207,2.5,13.50, 6,"Puerto Rico region"
ci,14519764,C,"Saturday, October  3, 2009 01:10:25 UTC",36.3863,-117.8671,4.9,3.60,11,"Central California"
ci,14519756,C,"Saturday, October  3, 2009 01:09:18 UTC",36.3853,-117.8635,4.7,0.10,40,"Central California"
